x_norm,y,mean_x,sd_x,pdp_var,season,window,window_c,x
-3.21779588136842,3.143941772666668,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,-0.5829516806736539
-2.545611202244238,3.1229122716666677,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,1.8676092381752767
-2.265421415852474,3.1179746253333347,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,2.889087652837917
-2.100711990162045,3.1181291105000013,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,3.4895632276292456
-1.97981546513971,3.1167288940000013,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,3.9303115943286926
-1.8734265231200553,3.1212588495000015,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,4.318170157024206
-1.7525299980977203,3.1208281023333346,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,4.758918523723654
-1.6026183070700253,3.1197431130000015,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,5.305446498430968
-1.4333631720387563,3.112009107166668,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,5.922494211810195
-1.333115773490236,3.1115067715000015,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,6.287962757477378
-1.249600454004807,3.111080985833335,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,6.592431729193357
-1.177062538991406,3.1117456355000015,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,6.856880749213024
-1.101429672937434,3.111966395833335,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,7.132612927420197
-1.0271508479637106,3.1121491620000015,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,7.40340872392034
-0.9642846549520965,3.111449424833335,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,7.632597874604053
-0.9110901839422691,3.109442019333335,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,7.82652715595181
-0.8724032959351219,3.109914411000002,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,7.9675666332956325
-0.8337164079279746,3.1105828320000017,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,8.108606110639457
-0.7901936589199341,3.109782784000002,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,8.267275522651257
-0.7515067709127872,3.1094605810000018,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,8.40831499999508
-0.7176557439065332,3.1083113106666684,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,8.531724542670926
-0.6886405779011726,3.1061559195000017,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,8.637504150678794
-0.6547895508949191,3.104926948833335,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,8.760913693354638
-0.6306102458904522,3.1033884041666684,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,8.849063366694528
-0.6015950798850915,3.1027108890000017,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,8.954842974702396
-0.5677440528788377,3.1024669506666682,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,9.078252517378242
-0.5387288868734774,3.1027302353333353,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,9.184032125386109
-0.5097137208681172,3.1027507835000017,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,9.289811733393975
-0.4758626938618633,3.1023460031666685,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,9.413221276069821
-0.4420116668556094,3.102497329000002,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,9.536630818745667
-0.4081606398493554,3.1018527820000017,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,9.660040361421514
-0.37430961284310194,3.1009533548333352,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,9.783449904097358
-0.350130307838635,3.1007473826666683,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,9.871599577437246
-0.32595100283416767,3.100435674333335,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,9.959749250777138
-0.30177169782970076,3.0981097038333347,11.14805778236368,3.645666131578405,air_temp,Spring/Summer,1,S1,10.047898924117026
