mae,nse,r2,rmse,season,window,window_c,type
1.236634586482181,0.2250677657031933,0.59,1.8334669098818464,Spring/Summer,1,S1,All
0.978812354999332,0.5066711153755461,0.62,1.2353168063446207,Spring/Summer,2,S2,All
1.032243306205244,0.24290620133617544,0.49,1.3564182135135188,Spring/Summer,3,S3,All
0.977984540176936,0.01231456716457379,0.13,1.2504397672839958,Spring/Summer,4,S4,All
1.3051525753086513,0.1784587076964873,0.46,1.565543954694124,Spring/Summer,5,S5,All
1.0594505529035438,0.13980882634891845,0.28,1.3746302456860655,Fall/Winter,1,F1,All
0.9946924762604584,0.7261837094433432,0.82,1.2174566502787816,Fall/Winter,2,F2,All
1.0727371391933531,0.4194594822085609,0.49,1.3821123017795451,Fall/Winter,3,F3,All
0.7981139643358899,0.6373381898252195,0.66,1.01767412253811,Fall/Winter,4,F4,All
1.026182337701274,0.6551676209908548,0.72,1.3130378885455325,Fall/Winter,5,F5,All
